new_index,OpenFIGI_figi,OpenFIGI_name,OpenFIGI_ticker,OpenFIGI_exchCode,OpenFIGI_compositeFIGI,OpenFIGI_securityType,OpenFIGI_marketSector,OpenFIGI_shareClassFIGI,OpenFIGI_securityType2,OpenFIGI_securityDescription,OpenFIGI_uniqueID,OpenFIGI_uniqueIDFutOpt,IB_longName,IB_marketName,IB_secIdList,Origin_Name,Origin_Stock,Origin_Country
2704,,,,,,,,,,,,,CAPLEASE INC,LSE,US1402881015,CAPLEASE INC,LSE,
2705,BBG000F1M7J0,CAPLIN POINT LABORATORIES,CLPL,IN,BBG000F1M7J0,Common Stock,Equity,BBG001S8G5V6,Common Stock,CLPL,,,CAPLIN POINT LABORATORIES,CAPLIPOIN,INE475E01026,CAPLIN POINT LABORATORIES,CAPLIPOIN,India
2706,BBG000DPXP43,CAPRAL LTD,CAA,AU,BBG000DPXP43,Common Stock,Equity,BBG001S8KL91,Common Stock,CAA,,,CAPRAL LTD,CAA,AU000000CAA9,CAPRAL LTD,CAA,Australia
2707,BBG000C25504,CAPRI GLOBAL CAPITAL LTD,CGCL,IN,BBG000C25504,Common Stock,Equity,BBG001S7R9H4,Common Stock,CGCL,,,CAPRI GLOBAL CAPITAL LTD,CGCL,INE180C01026,CAPRI GLOBAL CAPITAL LTD,CGCL,India
2708,BBG0029SNR63,CAPRI HOLDINGS LTD,CPRI,US,BBG0029SNR63,Common Stock,Equity,BBG0029SNS07,Common Stock,CPRI,,,CAPRI HOLDINGS LTD,CPRI,VGG1890L1076,CAPRI HOLDINGS LTD,CPRI,Mexico
2709,BBG000DZMK99,CAPRICOR THERAPEUTICS INC,CAPR,US,BBG000DZMK99,Common Stock,Equity,BBG001SKJV12,Common Stock,CAPR,,,CAPRICOR THERAPEUTICS INC,SCM,US14070B3096,CAPRICOR THERAPEUTICS INC,CAPR,United States of America
2710,BBG000C0X7Y6,CAPRICORN METALS LTD,CMM,AU,BBG000C0X7Y6,Common Stock,Equity,BBG001STQRH7,Common Stock,CMM,,,CAPRICORN METALS LTD,CMM,AU000000CMM9,CAPRICORN METALS LTD,CMM,Australia
2711,BBG00CW88W83,CAPSTAR FINANCIAL HOLDINGS I,CSTR,US,BBG00CW88W83,Common Stock,Equity,BBG00CW88W92,Common Stock,CSTR,,,CAPSTAR FINANCIAL HOLDINGS I,NMS,US14070T1025,CAPSTAR FINANCIAL HOLDINGS I,CSTR,United States of America
2712,BBG006RDYDV8,CAPSTEAD MORTGAGE CORP,CMOEUR,XS,BBG006RDYDC9,REIT,Equity,BBG001S6C0L6,REIT,CMOEUR,,,CAPSTEAD MORTGAGE CORP,CMO,US14067E5069,CAPSTEAD MORTGAGE CORP,CMO,United States of America
2713,BBG000BSDJP2,CAPSTONE COMPANIES INC,CAPC,US,BBG000BSDJP2,Common Stock,Equity,BBG001SB1YM2,Common Stock,CAPC,,,CAPSTONE COMPANIES INC,CURRENT,US14070F2011,CAPSTONE COMPANIES INC,CAPC,United States of America
2714,BBG003H6NFC9,CAPSTONE FINANCIAL GROUP INC,CAPP,US,BBG003H6NFC9,Common Stock,Equity,BBG003H6NG37,Common Stock,CAPP,,,CAPSTONE FINANCIAL GROUP INC,NOINFO,US14069V1008,CAPSTONE FINANCIAL GROUP INC,CAPP,United States of America
2715,BBG000MPXHQ7,CAPSTONE TECHNOLOGIES GROUP,CATG,US,BBG000MPXHQ7,Common Stock,Equity,BBG001T4XHK1,Common Stock,CATG,,,CAPSTONE TECHNOLOGIES GROUP,CURRENT,US14070V2060,CAPSTONE TECHNOLOGIES GROUP,CATG,United States of America
2716,BBG000MMR3T9,CAPTOR CAPITAL CORP,CPTR,CN,BBG000MMR3T9,Common Stock,Equity,BBG001S75773,Common Stock,CPTR,,,CAPTOR CAPITAL CORP,CPTR,CA14075H2028,CAPTOR CAPITAL CORP,CPTR,Canada
2717,BBG001J2QYS9,CARA THERAPEUTICS INC,CARA,US,BBG001J2QYS9,Common Stock,Equity,BBG001V0GHL4,Common Stock,CARA,,,CARA THERAPEUTICS INC,NMS,US1407551092,CARA THERAPEUTICS INC,CARA,United States of America
2718,BBG001Q7GPB8,CARASSO MOTORS LTD,CRSO,IT,BBG001BJJ1H2,Common Stock,Equity,BBG001TNW027,Common Stock,CRSO,,,CARASSO MOTORS LTD,CRSO,IL0011238503,CARASSO MOTORS LTD,CRSO,Israel
2719,BBG000C1K2R7,CARAVEL MINERALS LTD,CVV,AU,BBG000C1K2R7,Common Stock,Equity,BBG001SKQNV9,Common Stock,CVV,,,CARAVEL MINERALS LTD,CVV,AU000000CVV1,CARAVEL MINERALS LTD,CVV,Australia
2720,BBG00J3XLY59,CARAWINE RESOURCES LTD,CWX,AU,BBG00J3XLY59,Common Stock,Equity,BBG00J3XLYD0,Common Stock,CWX,,,CARAWINE RESOURCES LTD,CWX,AU000000CWX5,CARAWINE RESOURCES LTD,CWX,Australia
2721,BBG000HG0NN9,CARBINE RESOURCES LTD,CRB,AU,BBG000HG0NN9,Common Stock,Equity,BBG001SCG1C7,Common Stock,CRB,,,CARBINE RESOURCES LTD,CRB,AU000000CRB1,CARBINE RESOURCES LTD,CRB,Australia
2722,BBG00FVQ6PD8,CARBO CERAMICS INC,CRREUR,XS,BBG00FVQ6NX1,Common Stock,Equity,BBG001SDMN12,Common Stock,CRREUR,,,CARBO CERAMICS INC,CRRTQ,US1407811058,CARBO CERAMICS INC,CRRTQ,United States of America
2723,BBG000NVSF92,CARBONE LORRAINE-UNSP ADR,CBLNY,US,BBG000NVSF92,ADR,Equity,BBG001T3P001,Depositary Receipt,CBLNY,,,CARBONE LORRAINE-UNSP ADR,LIMITED,US59044P1084,CARBONE LORRAINE-UNSP ADR,CBLNY,United States of America
2724,BBG00JG2B003,CARBONXT GROUP LTD,CG1,AU,BBG00JG2B003,Common Stock,Equity,BBG00JG2B076,Common Stock,CG1,,,CARBONXT GROUP LTD,CG1,AU000000CG18,CARBONXT GROUP LTD,CG1,Australia
2725,BBG000CPQV85,CARBORUNDUM UNIVERSAL LTD,CU,IN,BBG000CPQV85,Common Stock,Equity,BBG001S831F7,Common Stock,CU,,,CARBORUNDUM UNIVERSAL LTD,CARBORUNI,INE120A01034,CARBORUNDUM UNIVERSAL LTD,CARBORUNI,India
2726,BBG000BK9VZ6,CARCHS HOLDINGS CO LTD,7602,JP,BBG000BK9VZ6,Common Stock,Equity,BBG001S9B040,Common Stock,7602,,,CARCHS HOLDINGS CO LTD,7602,JP3388550000,CARCHS HOLDINGS CO LTD,7602,Japan
2727,BBG000C349W0,CARCLO PLC,CAR,LN,BBG000C349Q7,Common Stock,Equity,BBG001SDHSY1,Common Stock,CAR,,,CARCLO PLC,SET3,GB0001751915,CARCLO PLC,CAR,United Kingdom
2728,BBG006D88KM7,CARD FACTORY PLC,CARD,LN,BBG006D88KL8,Common Stock,Equity,BBG006D88KQ3,Common Stock,CARD,,,CARD FACTORY PLC,SSMM,GB00BLY2F708,CARD FACTORY PLC,CARD,United Kingdom
2729,,,,,,,,,,,,,CARDCONNECT CORP,CCN,US14141X1081,CARDCONNECT CORP,CCN,
2730,BBG000BQW5W7,CARDERO RESOURCE CORP,CDYCF,PQ,BBG000BQVZ89,Common Stock,Equity,BBG001S8BP65,Common Stock,CDYCF,,,CARDERO RESOURCE CORP,CDYCF,CA14140U2048,CARDERO RESOURCE CORP,CDYCF,United States of America
2731,BBG000BYTJB7,CARDIAC NETWORK INC,CNWI,US,BBG000BYTJB7,Common Stock,Equity,BBG001SBKFL3,Common Stock,CNWI,,,CARDIAC NETWORK INC,CNWI,US1414062075,CARDIAC NETWORK INC,CNWI,
2732,BBG000BD9P30,CARDIFF PROPERTY PLC,CDFF,LN,BBG000BD9NH0,Common Stock,Equity,BBG001S61J00,Common Stock,CDFF,,,CARDIFF PROPERTY PLC,SSQ3,GB0001754257,CARDIFF PROPERTY PLC,CDFF,United Kingdom
2733,BBG000NLZ2P7,CARDINAL ENERGY GROUP INC,CEGX,PQ,BBG000NLYSX2,Common Stock,Equity,BBG001T57BN7,Common Stock,CEGX,,,CARDINAL ENERGY GROUP INC,CEGX,US14150H1014,CARDINAL ENERGY GROUP INC,CEGX,
2734,,,,,,,,,,,,,CARDINAL FINANCIAL CORP,CFNL,US14149F1093,CARDINAL FINANCIAL CORP,CFNL,
2735,BBG000D898T9,CARDINAL HEALTH INC,CAH,US,BBG000D898T9,Common Stock,Equity,BBG001S7PC34,Common Stock,CAH,,,CARDINAL HEALTH INC,CAH,US14149Y1082,CARDINAL HEALTH INC,CAH,Germany
2736,,,,,,,,,,,,,CARDINAL RESOURCES INC,CDNL,US14153Q1085,CARDINAL RESOURCES INC,CDNL,
2737,BBG000CLC130,CARDIOCOMM SOLUTIONS INC,EKG,CN,BBG000CLC130,Common Stock,Equity,BBG001S827F5,Common Stock,EKG,,,CARDIOCOMM SOLUTIONS INC,CURRENT,CA14159N2086,CARDIOCOMM SOLUTIONS INC,EKGGF,United States of America
2738,BBG000KBC4R1,CARDIOGENICS HOLDINGS INC,CGNH,US,BBG000KBC4R1,Common Stock,Equity,BBG001SJKC88,Common Stock,CGNH,,,CARDIOGENICS HOLDINGS INC,NOINFO,US14160X2036,CARDIOGENICS HOLDINGS INC,CGNH,United States of America
2739,BBG000NWQ9S5,CARDIOVASCULAR SYSTEMS INC,CSII,US,BBG000NWQ9S5,Common Stock,Equity,BBG001SQRWL6,Common Stock,CSII,,,CARDIOVASCULAR SYSTEMS INC,NMS,US1416191062,CARDIOVASCULAR SYSTEMS INC,CSII,United States of America
2740,BBG00225ZDD0,CARDLYTICS INC,CDLX,US,BBG00225ZDD0,Common Stock,Equity,BBG00225ZDF8,Common Stock,CDLX,,,CARDLYTICS INC,NMS,US14161W1053,CARDLYTICS INC,CDLX,United States of America
2741,BBG000N64VX1,CARDNO LTD,CDD,AU,BBG000N64VX1,Common Stock,Equity,BBG001SKNBV8,Common Stock,CDD,,,CARDNO LTD,CDD,AU000000CDD7,CARDNO LTD,CDD,Australia
2742,BBG00D8S24K8,CARDTRONICS PLC - A,CATM1EUR,XS,BBG00D8S2428,Common Stock,Equity,BBG00D1WH4Z4,Common Stock,CATM1EUR,,,CARDTRONICS PLC - A,CATM,GB00BYT18414,CARDTRONICS PLC - A,CATM,United States of America
2743,,,,,,,,,,,,,CARE CAPITAL PROPERTIES INC,CCP,US1416241065,CARE CAPITAL PROPERTIES INC,CCP,
2744,BBG000N67SX5,CARE PROPERTY INVEST,CPINV,BB,BBG000N67S74,REIT,Equity,BBG001SGSHN8,REIT,CPINV,,,CARE PROPERTY INVEST,CPINV,BE0974273055,CARE PROPERTY INVEST,CPINV,Belgium
2745,BBG000DVKFD6,CARE RATINGS LTD,CARE,IN,BBG000DVKFD6,Common Stock,Equity,BBG001SJK8H7,Common Stock,CARE,,,CARE RATINGS LTD,CARERATIN,INE752H01013,CARE RATINGS LTD,CARERATIN,India
2746,BBG000QDDCP4,CARE SERVICE CO LTD,2425,JP,BBG000QDDCP4,Common Stock,Equity,BBG001SMNV86,Common Stock,2425,,,CARE SERVICE CO LTD,2425,JP3277450007,CARE SERVICE CO LTD,2425,Japan
2747,BBG006JS5785,CAREDX INC,CDNA,US,BBG006JS5785,Common Stock,Equity,BBG006JS5794,Common Stock,CDNA,,,CAREDX INC,NMS,US14167L1035,CAREDX INC,CDNA,United States of America
2748,BBG000C3JW71,CAREER COLLEGE HOLDING CO IN,CCHZ,US,BBG000C3JW71,Common Stock,Equity,BBG001SBX2Q3,Common Stock,CCHZ,,,CAREER COLLEGE HOLDING CO IN,CCHZ,US14167F1066,CAREER COLLEGE HOLDING CO IN,CCHZ,United States of America
2749,BBG000BV5ZG8,CAREER DESIGN CENTER CO LTD,2410,JP,BBG000BV5ZG8,Common Stock,Equity,BBG001SCC1L1,Common Stock,2410,,,CAREER DESIGN CENTER CO LTD,2410,JP3244450007,CAREER DESIGN CENTER CO LTD,2410,Japan
2750,BBG000QF8T69,CAREER POINT LTD,CRPT,IN,BBG000QF8T69,Common Stock,Equity,BBG001T6XGQ2,Common Stock,CRPT,,,CAREER POINT LTD,CAREERP,INE521J01018,CAREER POINT LTD,CAREERP,India
2751,,,,,,,,,,,,,CAREFUSION CORP,CFN,US14170T1016,CAREFUSION CORP,CFN,
2752,BBG00L1C28G8,CAREL INDUSTRIES SPA,CRL,IM,BBG001R1X419,Common Stock,Equity,BBG001V24SC9,Common Stock,CRL,,,CAREL INDUSTRIES SPA,CRL,IT0005331019,CAREL INDUSTRIES SPA,CRL,Italy
2753,BBG000QB7D00,CARENET INC,2150,JP,BBG000QB7D00,Common Stock,Equity,BBG001SRZZ29,Common Stock,2150,,,"CARENET, INC.",2150,JP3277550004,"CARENET, INC.",2150,Japan
2754,BBG000DHSG74,CAREPAYMENT TECHNOLOGIES INC,CPYT,US,BBG000DHSG74,Common Stock,Equity,BBG001SD4FQ2,Common Stock,CPYT,,,CAREPAYMENT TECHNOLOGIES INC,NOINFO,US14173D1037,CAREPAYMENT TECHNOLOGIES INC,CPYT,United States of America
2755,BBG000BM1G83,CARETECH HOLDINGS PLC,CTH,LN,BBG000BM1FW8,Common Stock,Equity,BBG001SDHGB2,Common Stock,CTH,,,CARETECH HOLDINGS PLC,AMSM,GB00B0KWHQ09,CARETECH HOLDINGS PLC,CTH,United Kingdom
2756,BBG005KC4Z70,CARETRUST REIT INC,CTRE,US,BBG005KC4Z70,REIT,Equity,BBG005KC4Z61,REIT,CTRE,,,CARETRUST REIT INC,CTRE,US14174T1079,CARETRUST REIT INC,CTRE,United States of America
2757,BBG000PS06M2,CAREVIEW COMMUNICATIONS INC,CRVW,US,BBG000PS06M2,Common Stock,Equity,BBG001SLQ6K6,Common Stock,CRVW,,,CAREVIEW COMMUNICATIONS INC,CRVW,US1417431046,CAREVIEW COMMUNICATIONS INC,CRVW,United States of America
2758,BBG000FYNK80,CARGOJET INC,CJT,CN,BBG000FYNK80,Common Stock,Equity,BBG001SNSDZ9,Common Stock,CJT,,,CARGOJET INC,CJT,CA14179V5036,CARGOJET INC,CJT,Canada
2759,BBG00HQ77DS2,CARGURUS INC,CARG,US,BBG00HQ77DS2,Common Stock,Equity,BBG00HQ77DT1,Common Stock,CARG,,,CARGURUS INC,NMS,US1417881091,CARGURUS INC,CARG,United States of America
2760,BBG000Q7QF12,CARIBOO ROSE RESOURCES LTD,CRB,CN,BBG000Q7QF12,Common Stock,Equity,BBG001SRWCJ5,Common Stock,CRB,,,CARIBOO ROSE RESOURCES LTD,CRB,CA1420241087,CARIBOO ROSE RESOURCES LTD,CRB,Canada
2761,BBG000BGP5Y5,CARILLION PLC,CLLN,LN,BBG000BGP5K0,Common Stock,Equity,BBG001S7W675,Common Stock,CLLN,,,CARILLION PLC,CLLN,GB0007365546,CARILLION PLC,CLLN,
2762,BBG000L9VH40,CARINDALE PROPERTY TRUST,CDP,AU,BBG000L9VH40,REIT,Equity,BBG001SDH8L9,REIT,CDP,,,CARINDALE PROPERTY TRUST,CDP,AU000000CDP1,CARINDALE PROPERTY TRUST,CDP,Australia
2763,BBG007B5ZV67,CARL DATA SOLUTIONS INC,CRL,CN,BBG007B5ZV67,Common Stock,Equity,BBG007B5ZV76,Common Stock,CRL,,,CARL DATA SOLUTIONS INC,CURRENT,CA1421731037,CARL DATA SOLUTIONS INC,CDTAF,United States of America
2764,BBG000C7X325,CARL ZEISS MEDITEC AG - BR,AFX,GR,BBG000C7X325,Common Stock,Equity,BBG001SDSX14,Common Stock,AFX,,,CARL ZEISS MEDITEC AG - BR,XETRA,DE0005313704,CARL ZEISS MEDITEC AG - BR,AFX,Germany
2765,BBG000HNJ5W3,CARLIN GOLD CORPORATION,CGD,CN,BBG000HNJ5W3,Common Stock,Equity,BBG001SF9H06,Common Stock,CGD,,,CARLIN GOLD CORPORATION,CGD,CA1422401002,CARLIN GOLD CORPORATION,CGD,Canada
2766,BBG000BGGBT8,CARLISLE COS INC,CSL,US,BBG000BGGBT8,Common Stock,Equity,BBG001S5Q6R4,Common Stock,CSL,,,CARLISLE COS INC,CSL,US1423391002,CARLISLE COS INC,CSL,United States of America
2767,BBG0057981J0,CARLIT HOLDINGS CO LTD,4275,JP,BBG0057981J0,Common Stock,Equity,BBG0057981M6,Common Stock,4275,,,CARLIT HOLDINGS CO LTD,4275,JP3205320009,CARLIT HOLDINGS CO LTD,4275,Japan
2768,BBG000NRMQN7,CARLSBERG AS-B-SPON ADR,CABGY,US,BBG000NRMQN7,ADR,Equity,BBG001T6W3R1,Depositary Receipt,CABGY,,,CARLSBERG AS-B-SPON ADR,CURRENT,US1427952023,CARLSBERG AS-B-SPON ADR,CABGY,United States of America
2769,BBG000BMD218,CARLTON INVESTMENTS LIMITED,CIN,AU,BBG000BMD218,Closed-End Fund,Equity,BBG001S6N8Y3,Mutual Fund,CIN,,,CARLTON INVESTMENTS LIMITED,CIN,AU000000CIN5,CARLTON INVESTMENTS LIMITED,CIN,Australia
2770,BBG000D1JK25,CARMANAH TECHNOLOGIES CORP,CMHXF,PQ,BBG000D1J9C9,Common Stock,Equity,BBG001SJ7D36,Common Stock,CMHXF,,,CARMANAH TECHNOLOGIES CORP,CMH,CA1431262098,CARMANAH TECHNOLOGIES CORP,CMH,
2771,BBG000R1RLZ3,CARMAT,ALCAR,FP,BBG000R1RLS1,Common Stock,Equity,BBG001T902M7,Common Stock,ALCAR,,,CARMAT,ALCAR,FR0010907956,CARMAT,ALCAR,France
2772,BBG000BLMZK6,CARMAX INC,KMX,US,BBG000BLMZK6,Common Stock,Equity,BBG001SD9561,Common Stock,KMX,,,CARMAX INC,KMX,US1431301027,CARMAX INC,KMX,Mexico
2773,BBG000KP6HQ9,CARMIT CANDY INDUSTRIES LTD,CRMT,IT,BBG000KP6GP2,Common Stock,Equity,BBG001SD1GH3,Common Stock,CRMT,,,CARMIT CANDY INDUSTRIES LTD,CRMT,IL0004400169,CARMIT CANDY INDUSTRIES LTD,CRMT,Israel
2774,BBG000P46D80,CARNA BIOSCIENCES INC,4572,JP,BBG000P46D80,Common Stock,Equity,BBG001SQWQC3,Common Stock,4572,,,CARNA BIOSCIENCES INC,4572,JP3220550002,CARNA BIOSCIENCES INC,4572,Japan
2775,BBG00DKQ9YM3,CARNABY RESOURCES LTD,CNB,AU,BBG00DKQ9YM3,Common Stock,Equity,BBG00DKQ9YL4,Common Stock,CNB,,,CARNABY RESOURCES LTD,CNB,AU0000046203,CARNABY RESOURCES LTD,CNB,Australia
2776,BBG000P0L7V8,CARNAVALE RESOURCES LTD,YBB,GR,BBG000P0L7V8,Common Stock,Equity,BBG001SQTT40,Common Stock,YBB,,,CARNAVALE RESOURCES LTD,CAV,AU000000CAV5,CARNAVALE RESOURCES LTD,CAV,Australia
2777,BBG000BKMMJ9,CARNEGIE CLEAN ENERGY LTD,CCE,AU,BBG000BKMMJ9,Common Stock,Equity,BBG001S7G5H4,Common Stock,CCE,,,CARNEGIE CLEAN ENERGY LTD,CCE,AU000000CCE7,CARNEGIE CLEAN ENERGY LTD,CCE,Australia
2778,,,,,,,,,,,,,CAROLINA BANK HOLDINGS INC,CLBH,US1437851033,CAROLINA BANK HOLDINGS INC,CLBH,
2779,BBG00GBLYT40,CAROLINA FINANCIAL CORP,CAROEUR,XS,BBG00GBLYSN1,Common Stock,Equity,BBG004V9R2B1,Common Stock,CAROEUR,,,CAROLINA FINANCIAL CORP,CARO,US1438731077,CAROLINA FINANCIAL CORP,CARO,
2780,,,,,,,,,,,,,CAROLINA TRUST BANCSHARES IN,CART,US14422P1057,CAROLINA TRUST BANCSHARES IN,CART,
2781,BBG000BGCQT9,CARPENTER TECHNOLOGY,CRS,US,BBG000BGCQT9,Common Stock,Equity,BBG001S5Q5M1,Common Stock,CRS,,,CARPENTER TECHNOLOGY,CRS,US1442851036,CARPENTER TECHNOLOGY,CRS,Germany
2782,BBG000BBY8X1,CARREFOUR SA,CA,FP,BBG000BBY8Q9,Common Stock,Equity,BBG001S67WC2,Common Stock,CA,,,CARREFOUR SA,CAN,FR0000120172,CARREFOUR SA,CAN,Mexico
2783,BBG000J06DW8,CARRIAGE SERVICES INC,CSV,US,BBG000J06DW8,Common Stock,Equity,BBG001S9M5G4,Common Stock,CSV,,,CARRIAGE SERVICES INC,CSV,US1439051079,CARRIAGE SERVICES INC,CSV,United States of America
2784,BBG000BQ3GW5,CARRIANNA GROUP HOLDINGS CO,126,HK,BBG000BQ3G55,Common Stock,Equity,BBG001S6WQ37,Common Stock,126,,,CARRIANNA GROUP HOLDINGS CO,126,BMG1993G1042,CARRIANNA GROUP HOLDINGS CO,126,Hong Kong
2785,BBG000BQ9GJ4,CARRIER ALLIANCE HOLDINGS IN,CAHI,US,BBG000BQ9GJ4,Common Stock,Equity,BBG001S9G9H2,Common Stock,CAHI,,,CARRIER ALLIANCE HOLDINGS IN,NOINFO,US1444631063,CARRIER ALLIANCE HOLDINGS IN,CAHI,United States of America
2786,BBG00D0MX5X8,CARRIZO OIL & GAS INC,CRZOEUR,XS,BBG00D0MX5F8,Common Stock,Equity,BBG001SB4HT9,Common Stock,CRZOEUR,,,CARRIZO OIL & GAS INC,CRZO,US1445771033,CARRIZO OIL & GAS INC,CRZO,
2787,,,,,,,,,,,,,CARROLL BANCORP INC,CROL,US1447021072,CARROLL BANCORP INC,CROL,United States of America
2788,BBG000MJCY87,CARROLL SHELBY INTERNATIONAL,CSBI,US,BBG000MJCY87,Common Stock,Equity,BBG001SKDP84,Common Stock,CSBI,,,CARROLL SHELBY INTL,NOINFO,US14521N1000,CARROLL SHELBY INTL,CSBI,United States of America
2789,BBG000Q1PH76,CARROLS RESTAURANT GROUP INC,TAST,US,BBG000Q1PH76,Common Stock,Equity,BBG001SM2GK8,Common Stock,TAST,,,CARROLS RESTAURANT GROUP INC,NMS,US14574X1046,CARROLS RESTAURANT GROUP INC,TAST,United States of America
2790,BBG000HGTH33,CARS.COM INC,CARS,US,BBG000HGTH33,Common Stock,Equity,BBG001SP6HB5,Common Stock,CARS,,,CARS.COM INC,CARS,US14575E1055,CARS.COM INC,CARS,United States of America
2791,BBG000CJYVC5,CARSALES.COM LTD,CAR,AU,BBG000CJYVC5,Common Stock,Equity,BBG001SM06F8,Common Stock,CAR,,,CARSALES.COM LTD,CAR,AU000000CAR3,CARSALES.COM LTD,CAR,Australia
2792,BBG000BCNTT0,CARSMARTT INC,CRSM,US,BBG000BCNTT0,Common Stock,Equity,BBG001S9YGP7,Common Stock,CRSM,,,CARSMARTT INC,CURRENT,US14575N1054,CARSMARTT INC,CRSM,United States of America
2793,BBG000JPVGR4,CARSON DEVELOPMENT CORP,CDVM,US,BBG000JPVGR4,Common Stock,Equity,BBG001SHPR11,Common Stock,CDVM,,,CARSON DEVELOPMENT CORP,CDVM,US14584P1093,CARSON DEVELOPMENT CORP,CDVM,
2794,BBG000K88KX0,CARTA HOLDINGS INC,3688,JP,BBG000K88KX0,Common Stock,Equity,BBG001SJJJL0,Common Stock,3688,,,CARTA HOLDINGS INC,3688,JP3855650002,CARTA HOLDINGS INC,3688,Japan
2795,BBG000GM39D6,CARTEL BLUE INC,CRTL,US,BBG000GM39D6,Common Stock,Equity,BBG001S8X459,Common Stock,CRTL,,,CARTEL BLUE INC,CURRENT,US1460941073,CARTEL BLUE INC,CRTL,United States of America
2796,BBG000BKFK29,CARTIER RESOURCES INC,ECRFF,US,BBG000BKFK29,Common Stock,Equity,BBG001SCSSJ8,Common Stock,ECRFF,,,CARTIER RESOURCES INC,ECR,CA1467721082,CARTIER RESOURCES INC,ECR,Canada
2797,BBG00GCTWDJ3,CARVANA CO,CVNA,US,BBG00GCTWDJ3,Common Stock,Equity,BBG00GCTWF71,Common Stock,CVNA,,,CARVANA CO,CVNA,US1468691027,CARVANA CO,CVNA,United States of America
2798,BBG000BV2JL1,CARVER BANCORP INC,CARV,US,BBG000BV2JL1,Common Stock,Equity,BBG001S73P02,Common Stock,CARV,,,CARVER BANCORP INC,SCM,US1468756044,CARVER BANCORP INC,CARV,United States of America
2799,BBG000C4P2Y8,CASA HOLDINGS LTD,CASA,SP,BBG000C4P214,Common Stock,Equity,BBG001S7YPF2,Common Stock,CASA,,,CASA HOLDINGS LTD,C04,SG1B93012089,CASA HOLDINGS LTD,C04,Singapore
2800,BBG0024V6Q53,CASA MINERALS INC,CASA,CN,BBG0024V6Q53,Common Stock,Equity,BBG0024V6QS8,Common Stock,CASA,,,CASA MINERALS INC,CASA,CA14712X1078,CASA MINERALS INC,CASA,Canada
2801,BBG000QTFNC7,CASA SYSTEMS INC,CASA,US,BBG000QTFNC7,Common Stock,Equity,BBG001T8LF83,Common Stock,CASA,,,CASA SYSTEMS INC,NMS,US14713L1026,CASA SYSTEMS INC,CASA,United States of America
2802,BBG003MJCKT8,CASABLANCA GROUP LTD,2223,HK,BBG003MJCKS9,Common Stock,Equity,BBG003MJCKV5,Common Stock,2223,,,CASABLANCA GROUP LTD,2223,KYG192861063,CASABLANCA GROUP LTD,2223,Hong Kong
2803,,,,,,,,,,,,,CASCADE TECHNOLOGIES CORP,CSDT,US14738Y1055,CASCADE TECHNOLOGIES CORP,CSDT,
2804,BBG000BD0R08,CASCADERO COPPER CORP,CCD,CN,BBG000BD0R08,Common Stock,Equity,BBG001S6P1T2,Common Stock,CCD,,,CASCADERO COPPER CORP,CCD,CA14738X1078,CASCADERO COPPER CORP,CCD,Canada
2805,BBG000BXX6N9,CASCADES INC,CAS,CN,BBG000BXX6N9,Common Stock,Equity,BBG001S5Y4S9,Common Stock,CAS,,,CASCADES INC,CAS,CA1469001053,CASCADES INC,CAS,Canada
2806,BBG00589XP44,CASCADIA BLOCKCHAIN GROUP CO,CK,CN,BBG00589XP44,Common Stock,Equity,BBG00589XP53,Common Stock,CK,,,CASCADIA BLOCKCHAIN GROUP CO,CK,CA14739C1023,CASCADIA BLOCKCHAIN GROUP CO,CK,Canada
2807,BBG000BT0J38,CASELLA WASTE SYSTEMS INC-A,CWST,US,BBG000BT0J38,Common Stock,Equity,BBG001SB5S05,Common Stock,CWST,,,CASELLA WASTE SYSTEMS INC-A,NMS,US1474481041,CASELLA WASTE SYSTEMS INC-A,CWST,United States of America
2808,BBG000BF0672,CASEY'S GENERAL STORES INC,CASY,US,BBG000BF0672,Common Stock,Equity,BBG001S5PHZ2,Common Stock,CASY,,,CASEY'S GENERAL STORES INC,NMS,US1475281036,CASEY'S GENERAL STORES INC,CASY,United States of America
2809,BBG000HS0W71,CASH CONVERTERS INTL LTD,CCV,AU,BBG000HS0W71,Common Stock,Equity,BBG001S97973,Common Stock,CCV,,,CASH CONVERTERS INTERNATIONAL LIMITED,CCV,AU000000CCV1,CASH CONVERTERS INTERNATIONAL LIMITED,CCV,Australia
2810,BBG000G6M1V7,CASH STORE FINANCIAL/THE,CSFSF,US,BBG000G6M1V7,Common Stock,Equity,BBG001S77TP3,Common Stock,CSFSF,,,CASH STORE FINANCIAL/THE,CSF,CA14756F1036,CASH STORE FINANCIAL/THE,CSF,
2811,BBG000BFCKB3,CASHBUILD LTD,CSB,SJ,BBG000BFCK23,Common Stock,Equity,BBG001S7JRX5,Common Stock,CSB,,,CASHBUILD LTD,CSB,ZAE000028320,CASHBUILD LTD,CSB,South Africa
2812,BBG000QJ0MM6,CASHMERE VALLEY BANK,CSHX,US,BBG000QJ0MM6,Common Stock,Equity,BBG001SMYMM8,Common Stock,CSHX,,,CASHMERE VALLEY BANK,PRIMQX,US14756K1025,CASHMERE VALLEY BANK,CSHX,United States of America
2813,BBG000GW8ML1,CASI PHARMACEUTICALS INC,CASI,US,BBG000GW8ML1,Common Stock,Equity,BBG001S91RM2,Common Stock,CASI,,,CASI PHARMACEUTICALS INC,SCM,US14757U2087,CASI PHARMACEUTICALS INC,CASI,Germany
